"","X","participant","sex","age","DS1","DS2","DS3","DS4","DS5","DS6","DS7","comf1","comf2","comf3","comf4","comf5","comf6","comf7","comf8","comf9","comf10","relationship_category"
"1",1,1,2,21,7,5,5,6,5,6,6,4,3,6,2,3,2,4,3,4,3,4
"2",2,2,2,22,5,3,4,4,5,7,4,7,5,7,6,5,7,7,5,6,3,2
"3",3,3,1,25,3,2,2,3,3,2,4,7,6,6,6,4,6,7,6,5,7,2
"4",4,4,2,28,7,5,1,7,5,7,4,1,1,1,1,1,1,1,1,1,1,4
"5",5,5,1,38,6,6,3,5,7,5,5,6,6,5,5,4,5,5,2,7,5,3
"6",6,6,1,49,4,3,3,3,4,2,3,3,5,5,2,5,3,5,5,3,3,3
"7",7,7,2,32,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,1
"8",8,8,2,39,6,4,5,5,5,5,6,2,2,2,2,2,2,2,2,2,2,4
"9",9,9,2,47,6,3,4,3,6,2,6,7,6,7,3,7,6,7,4,7,6,2
"10",10,10,2,19,7,2,4,5,6,6,3,4,1,6,3,4,4,4,1,5,3,4
"11",11,11,1,26,3,2,2,3,2,4,3,7,6,7,7,7,7,7,7,7,7,1
"12",12,12,1,29,4,2,2,3,3,4,4,7,6,7,6,7,6,7,6,7,7,1
"13",13,13,1,44,6,5,3,4,5,5,6,7,5,7,5,7,6,7,7,7,7,1
"14",14,14,1,71,5,5,3,3,5,5,4,6,5,5,4,4,3,5,4,4,4,1
"15",15,15,1,32,4,5,6,6,5,4,6,1,1,1,1,1,1,1,1,1,1,4
"16",16,16,2,63,4,5,5,4,5,3,6,1,1,4,1,2,1,2,4,1,1,2
"17",17,17,1,28,7,2,7,3,7,6,4,1,1,1,1,1,1,1,1,1,1,4
"18",18,18,1,33,6,5,4,3,4,3,5,7,7,7,7,7,7,7,7,7,7,1
"19",19,19,2,33,5,6,5,5,6,6,5,6,6,6,4,6,6,6,4,6,6,3
"20",20,20,2,52,5,3,3,5,5,5,4,2,2,2,2,1,2,2,1,3,2,4
"21",21,21,1,52,4,2,2,3,4,2,3,6,6,6,5,5,5,6,6,4,6,3
"22",22,22,2,36,4,5,4,3,3,3,7,7,6,7,6,5,7,7,7,7,7,1
"23",23,23,2,27,7,4,4,6,4,4,6,7,7,7,1,7,7,7,7,7,3,1
"24",24,24,1,31,6,7,7,6,7,7,6,7,7,7,7,6,6,7,7,6,6,1
"25",25,25,2,53,6,4,3,3,4,3,6,2,2,6,3,2,3,3,4,4,3,3
"26",26,26,1,46,6,4,6,4,5,4,7,7,3,7,6,7,7,7,6,7,7,3
"27",27,27,1,29,5,5,4,4,4,5,5,4,3,3,3,3,3,6,3,3,5,4
"28",28,28,2,29,4,5,5,4,3,6,6,1,7,5,2,7,5,7,3,2,5,1
"29",29,29,1,39,5,4,3,3,5,4,7,4,1,3,1,1,4,4,3,5,3,3
"30",30,30,1,33,4,3,4,3,4,5,6,2,5,5,2,2,3,5,4,2,3,2
"31",31,31,1,35,4,4,3,4,3,2,5,6,6,6,3,5,6,6,4,6,4,3
"32",32,32,1,25,5,2,4,3,4,5,7,6,6,6,2,4,7,6,5,7,7,2
"33",33,33,2,41,4,1,1,5,2,7,4,7,7,7,7,7,7,7,7,7,3,2
"34",34,34,1,35,7,6,6,4,6,6,7,5,3,6,3,6,5,2,6,3,3,2
"35",35,35,1,44,6,7,4,5,5,6,4,3,2,3,1,2,2,2,1,2,1,3
"36",36,36,2,32,5,2,1,4,2,6,2,7,7,7,7,7,4,7,6,7,7,1
"37",37,37,2,29,3,5,4,4,7,4,4,3,3,3,5,6,3,5,5,3,3,4
"38",38,38,1,31,4,1,2,3,3,2,4,7,7,6,7,7,7,7,7,7,7,4
"39",39,39,2,45,5,6,3,4,5,4,4,5,4,5,2,3,5,5,4,5,6,3
"40",40,40,2,27,7,7,4,4,4,7,6,7,7,7,7,7,7,7,7,7,7,3
"41",41,41,2,40,6,4,7,4,7,7,6,4,5,6,1,3,4,5,4,6,3,2
"42",42,42,1,26,4,5,3,4,6,5,3,3,1,3,1,1,2,3,2,1,3,4
"43",43,43,2,34,4,6,4,4,4,3,7,7,7,7,1,7,7,7,5,7,6,2
"44",44,44,1,43,4,5,5,3,3,4,6,7,6,7,6,6,6,7,6,6,6,1
"45",45,45,2,27,6,3,5,4,5,5,6,7,6,7,7,6,7,7,7,7,5,1
"46",46,46,2,22,6,5,4,5,5,7,7,7,7,7,4,7,7,7,7,7,7,1
"47",47,47,2,55,5,4,4,2,4,4,5,5,5,6,3,5,6,7,6,6,5,2
"48",48,48,2,35,7,4,7,7,7,7,7,6,1,7,1,1,7,1,1,6,6,1
"49",49,49,1,26,5,4,3,3,4,4,2,3,2,1,1,3,2,2,2,3,5,4
"50",50,50,2,44,5,4,5,6,5,4,3,7,6,7,5,1,7,7,7,7,7,2
"51",51,51,2,47,7,6,6,5,6,6,7,1,1,1,2,1,2,2,2,2,3,3
"52",52,52,1,28,6,4,7,5,5,6,7,1,1,1,1,1,2,2,1,1,2,3
"53",53,53,2,45,3,5,3,2,3,3,5,2,1,5,2,1,2,1,1,5,3,2
"54",54,54,1,32,6,4,4,4,4,4,5,1,1,3,1,1,2,2,2,1,2,3
"55",55,55,1,32,6,7,6,6,7,6,7,6,6,6,6,7,7,7,6,6,7,2
"56",56,56,2,23,5,4,3,5,4,5,5,5,5,6,3,6,6,6,5,5,7,2
"57",57,57,1,31,6,2,3,6,3,5,4,4,4,4,2,1,3,4,2,3,3,4
"58",58,58,1,23,5,2,4,6,4,3,5,4,3,4,3,3,3,4,2,5,6,3
"59",59,59,2,28,6,3,2,5,4,7,4,7,7,7,5,7,7,7,7,7,7,1
"60",60,60,2,32,5,3,2,4,4,3,6,7,7,7,6,7,7,7,7,7,7,1
"61",61,61,2,38,7,4,5,4,6,3,6,2,1,5,1,1,3,6,2,5,1,2
"62",62,62,1,34,3,1,2,2,3,2,2,7,6,7,7,7,7,7,1,6,5,1
"63",63,63,2,31,7,4,6,6,4,7,6,7,7,7,7,7,7,7,2,7,7,1
"64",64,64,2,27,5,5,3,3,4,7,7,7,7,7,4,NA,7,7,4,7,4,1
"65",65,65,2,29,6,4,5,6,5,3,5,3,3,7,2,1,6,3,3,3,3,4
"66",66,66,2,49,4,2,3,2,3,2,2,7,3,6,5,5,7,6,6,6,5,1
"67",67,67,1,30,3,4,3,5,3,4,5,4,4,6,3,2,4,6,3,6,5,3
"68",68,68,2,29,7,5,6,4,5,5,7,1,1,2,1,1,3,1,1,2,2,3
"69",69,69,2,30,7,6,3,6,5,7,7,1,1,1,1,1,1,1,1,1,1,4
"70",70,70,2,35,5,6,3,2,4,5,4,7,7,7,3,7,7,7,7,7,7,1
"71",71,71,2,38,7,3,5,3,5,4,6,1,1,1,1,1,1,2,2,1,2,4
"72",72,72,2,28,5,3,4,4,5,4,6,7,7,7,3,7,7,7,5,7,7,2
"73",73,73,1,29,6,5,6,5,5,3,6,5,6,7,1,1,1,7,7,6,6,2
"74",74,74,2,45,6,3,3,4,2,6,5,2,2,2,2,1,2,3,2,2,2,4
"75",75,75,2,46,6,5,5,6,7,5,7,7,7,7,3,5,3,5,7,7,5,1
"76",76,76,1,31,6,5,6,6,6,5,7,6,6,6,7,5,7,7,6,6,6,1
"77",77,77,2,45,5,6,4,5,4,4,6,1,1,2,1,1,1,5,1,1,2,4
"78",78,78,1,56,4,4,4,4,4,3,4,4,4,4,3,3,4,3,4,4,4,3
"79",79,79,1,34,7,5,4,5,5,6,4,5,3,5,2,5,6,6,5,6,6,1
"80",80,80,2,38,6,6,6,7,7,7,6,2,2,7,1,1,5,2,1,1,5,3
"81",81,81,2,39,3,3,3,4,3,1,3,6,5,7,6,4,6,7,6,7,7,3
"82",82,82,1,29,5,2,1,5,4,4,1,4,4,3,1,4,4,4,4,4,4,4
"83",83,83,2,28,7,4,3,2,2,2,5,7,6,6,5,6,6,7,5,6,6,2
"84",84,84,1,30,6,5,3,5,6,6,5,7,6,7,6,7,6,7,6,7,7,1
"85",85,85,1,31,6,4,3,4,3,4,5,2,2,3,1,1,2,3,4,1,1,4
"86",86,86,2,28,4,4,4,6,5,7,4,2,2,2,2,2,2,2,2,4,2,4
"87",87,87,2,43,5,4,5,3,3,5,5,2,1,3,2,2,3,3,2,1,3,4
